path,page_type,group,sources,gsc_status,gsc_last_crawled,has_rankmath_redirect,rankmath_type,rankmath_dest,is_thirstyaffiliate,ta_name,ta_dest_url,exists_on_new_site,new_site_path,notes,redirect_status
/best-,post,Guides / Listicles,gsc:redirect,redirect,2026-02-16,,,,,,,no,,,ignored-fragment
/best-cheap-electric-scooters,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-15,yes,301,http://eridehero.com/best-electric-scooters-under-500/,,,,no,,,mapped
/best-cheap-electric-skateboards,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-04,yes,301,http://eridehero.com/best-electric-skateboards/,,,,no,,,mapped
/best-cheap-hoverboards,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-15,,,,,,,yes,/best-cheap-hoverboards,,no-redirect-needed
/best-cheap-hoverboards/1000,post,Guides / Listicles,gsc:redirect,redirect,2024-10-03,,,,,,,no,,Has /1000 suffix (Oxygen Builder artifact); Base path /best-cheap-hoverboards exists on new site,no-redirect-needed
/best-electric,post,Guides / Listicles,gsc:redirect,redirect,2026-02-15,,,,,,,no,,,ignored-fragment
/best-electric-scooter-accessories,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-15,,,,,,,yes,/best-electric-scooter-accessories,,no-redirect-needed
/best-electric-scooters,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-16,,,,,,,yes,/best-electric-scooters,,no-redirect-needed
/best-electric-scooters-for-commuting,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-12,,,,,,,yes,/best-electric-scooters-for-commuting,,no-redirect-needed
/best-electric-scooters-for-hea,post,Guides / Listicles,gsc:redirect,redirect,2026-02-14,,,,,,,no,,,ignored-fragment
/best-electric-scooters-for-heavy-adults,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-14,,,,,,,yes,/best-electric-scooters-for-heavy-adults,,no-redirect-needed
/best-electric-scooters-for-heavy-adults/1000,post,Guides / Listicles,gsc:redirect,redirect,2026-02-15,,,,,,,no,,Has /1000 suffix (Oxygen Builder artifact); Base path /best-electric-scooters-for-heavy-adults exists on new site,no-redirect-needed
/best-electric-scooters-for-kids,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-16,,,,,,,yes,/best-electric-scooters-for-kids,,no-redirect-needed
/best-electric-scooters-for-kids/1000,post,Guides / Listicles,gsc:redirect,redirect,2026-02-17,,,,,,,no,,Has /1000 suffix (Oxygen Builder artifact); Base path /best-electric-scooters-for-kids exists on new site,no-redirect-needed
/best-electric-scooters-under-500,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-15,,,,,,,yes,/best-electric-scooters-under-500,,no-redirect-needed
/best-electric-scooters-with-seats,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-16,yes,301,http://eridehero.com/best-electric-scooters/,,,,no,,,mapped
/best-electric-scooters/1000,post,Guides / Listicles,gsc:redirect,redirect,2026-02-16,,,,,,,no,,Has /1000 suffix (Oxygen Builder artifact); Base path /best-electric-scooters exists on new site,no-redirect-needed
/best-electric-scooters/fastest,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-14,yes,301,http://eridehero.com/fastest-electric-scooters/,,,,no,,,mapped
/best-electric-scooters/kids,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-12,yes,301,http://eridehero.com/best-electric-scooters-for-kids/,,,,no,,,mapped
/best-electric-skateboard-conversion-kits,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2025-10-15,yes,301,http://eridehero.com/best-electric-skateboards/,,,,no,,,mapped
/best-electric-skateboards,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-16,,,,,,,yes,/best-electric-skateboards,,no-redirect-needed
/best-electric-skateboards/cheap,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-04,yes,301,http://eridehero.com/best-cheap-electric-skateboards/,,,,no,,,mapped
/best-electric-unicycles,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-14,,,,,,,yes,/best-electric-unicycles,,no-redirect-needed
