id,source,matching,destination,type,category,status,ignore
"140","privacy-statement-us/","exact","http://eridehero.com/privacy-policy/","301","","active",""
"140","privacy-statement/","exact","http://eridehero.com/privacy-policy/","301","","active",""
"141","terms-and-conditions/","exact","http://eridehero.com/terms-conditions/","301","","active",""
"142","fluidfreeride-cityrider-electric-scooter-review","exact","http://eridehero.com/fluid-cityrider-electric-scooter-review/","301","","active","case"
"143","xiaomi-m365-recall","exact","","410","","active",""
"144","fluidfreeride-horizon-electric-scooter-review","exact","http://eridehero.com/fluid-horizon-review/","301","","active",""
"145","prices/","exact","http://eridehero.com/tool/electric-scooter-finder/","301","","active",""
"145","prices","exact","http://eridehero.com/tool/electric-scooter-finder/","301","","active",""
"146","electric-bicycles/","exact","http://eridehero.com/electric-bikes/","301","","active",""
"147","__trashed/","exact","http://eridehero.com/login-register/","301","","active",""
"147","login/","exact","http://eridehero.com/login-register/","301","","active",""
"147","log-in/","exact","http://eridehero.com/login-register/","301","","active",""
"147","login/","exact","http://eridehero.com/login-register/","301","","active",""
"148","products/apollo-phantom-2023/","exact","http://eridehero.com/products/apollo-phantom/","301","","active",""
"148","products/apollo-phantom-2/","exact","http://eridehero.com/products/apollo-phantom/","301","","active",""
"149","products/niu-kqi-3-sport/","exact","http://eridehero.com/products/niu-kqi3-sport/","301","","active",""
"150","products/emove-roadrunner/","exact","http://eridehero.com/products/emove-roadrunner-v2/","301","","active",""
"151","electric-scooters-prices","exact","http://eridehero.com/tool/electric-scooter-finder/","301","","active",""
"153","log-in/","exact","http://eridehero.com/login-register/","301","","active","case"
"154","products/mukuta-0-plus/","exact","http://eridehero.com/products/mukuta-9-plus/","301","","active",""
"155","razor-e300-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","","active",""
"156","inokim-quick-3-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","emove-touring-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","macwheel-mx1-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","gotrax-gxl-v2-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
